nBC,Ins,RH,s,t,avPriceFP0,avPriceFP100,avPriceFP500,avPriceCoastFront,nB,nS,nNC,nOS,nOB,nBL,nT,dBS
0.7,0,1,10,176,150089.37765043,164631.03813559,112044.15865385,367751.56521739,761,908,244,90,495,68,288,-147
0.7,0,1,10,177,151494.35186246,166412.81355932,112854.84615385,373077.13043478,806,893,249,76,491,10,270,-87
0.7,0,1,10,178,151808.91232092,166659.54237288,113093.63942308,374240.55434783,865,919,263,77,543,18,263,-54
0.7,0,1,10,179,151820.11461318,166183.16525424,112903.80288462,374416.92391304,817,941,240,64,595,82,270,-124
0.7,0,1,10,180,151984.25902579,166183.74576271,112802.43269231,375348.80434783,839,929,236,79,537,13,280,-90
0.7,0,1,10,181,151186.38853868,165312.80508475,112399.45192308,371875.97826087,888,937,247,81,567,7,272,-49
0.7,0,1,10,182,150430.38395415,164200.12288136,111726.54326923,369875.40217391,935,935,263,86,597,11,291,0
0.7,0,1,10,183,150034.35186246,163368.90254237,111080.13942308,368393.57608696,986,943,239,89,666,8,269,43
0.7,0,1,10,184,147149.4234957,162472.62711864,111058.39903846,358342.02173913,874,941,234,84,710,154,276,-67
0.7,0,1,10,185,147399.57363897,161976.19491525,110907.82692308,359349.39130435,894,904,229,84,591,10,283,-10
0.7,0,1,10,186,146795.90143266,161691.36440678,110796.26923077,358619.82608696,894,948,234,88,627,55,267,-54
0.7,0,1,10,187,146807.00744986,161236.99152542,110797.42788462,357939.34782609,805,931,245,80,627,147,267,-126
0.7,0,1,10,188,146055.79598854,160485.38983051,110615.92307692,355361.94565217,662,872,272,90,519,219,286,-210
0.7,0,1,10,189,145186.06991404,159734.17372881,110131.18269231,354164.06521739,688,851,248,95,362,17,300,-163
0.7,0,1,10,190,144325.34555874,158768.19067797,109943.46634615,350046.89130435,662,833,243,96,409,86,279,-171
0.7,0,1,10,191,143596.49283668,158667.83050847,109511.19230769,348914.2173913,716,849,254,96,375,9,287,-133
0.7,0,1,10,192,143240.33008596,158848.18220339,109428.65865385,349360.73913043,716,825,257,78,424,43,292,-109
0.7,0,1,10,193,143564.43553009,158501.03389831,109193.88461538,350417.61956522,729,851,254,83,433,41,283,-122
0.7,0,1,10,194,144225.63667622,158953.16525424,109243.98557692,353631,742,840,239,95,438,30,291,-98
0.7,0,1,10,195,144772.1008596,159222.27118644,109281.33173077,355310.83695652,802,816,258,79,470,5,272,-14
0.7,0,1,10,196,144809.3226361,159333.58898305,108968.23557692,356480.75,763,855,237,82,537,93,265,-92
0.7,0,1,10,197,144088.45157593,158679.44915254,108524.1875,354688.67391304,705,850,243,83,472,93,291,-145
0.7,0,1,10,198,143708.27965616,157882.82627119,108039.66346154,354545.25,693,870,237,81,434,59,271,-177
0.7,0,1,10,199,143278.65444126,157211.22457627,107814.77403846,353957.60869565,616,861,246,82,414,126,279,-245
0.7,0,1,10,200,142960.70830946,156358.96186441,107847.60096154,351761.76086957,624,881,244,81,339,40,277,-257
0.7,0,1,11,0,239169.9713467,266217.58474576,193210.69711538,461214.67391304,0,0,0,0,0,0,0,0
0.7,0,1,11,1,239243.61031519,266454.44915254,193323.91826923,461500.54347826,765,808,258,64,443,0,221,-43
0.7,0,1,11,2,244449.57020057,273344.80932203,197936.89903846,475216.57608696,848,923,244,65,539,0,226,-75
0.7,0,1,11,3,244613.66189112,273667.93644068,197568.47596154,473264.9673913,932,1024,255,68,609,0,239,-92
0.7,0,1,11,4,246725.052149,276368.13135593,199779.30288462,476879.79347826,947,1163,270,71,687,81,245,-216
0.7,0,1,11,5,243541.81776504,273025.93644068,196663.11538462,469574.26086957,945,954,227,71,687,40,260,-9
0.7,0,1,11,6,241178.10200573,270745.36864407,195679.66826923,464134.7173913,1004,921,255,85,710,46,235,83
0.7,0,1,11,7,237797.25386819,266702.04661017,192731.90384615,458274.31521739,1048,909,250,61,769,32,235,139
0.7,0,1,11,8,234186.57191977,262391.44915254,189638.49519231,449771.5326087,1110,973,263,73,816,42,232,137
0.7,0,1,11,9,228545.00630372,255316.41101695,185790.57692308,436753.31521739,1150,974,250,78,862,40,248,176
0.7,0,1,11,10,226490.3747851,252827.55508475,184723.72596154,431406.89130435,1199,1009,248,74,917,40,233,190
0.7,0,1,11,11,218678.8034384,244447.6059322,178812.71634615,413384.05434783,1260,1038,239,75,969,23,230,222
0.7,0,1,11,12,213912.54555874,238966.52542373,175536.25480769,398691.07608696,1283,1044,233,67,1004,21,256,239
0.7,0,1,11,13,211826.64985673,234911.62711864,173322.29807692,394933.16304348,1350,1044,250,67,1053,20,230,306
0.7,0,1,11,14,208899.36504298,231381.13135593,170394.13461538,388458.95652174,1386,1032,241,75,1092,22,258,354
0.7,0,1,11,15,206860.34842407,227345.75423729,168867.64423077,382901.10869565,1437,1030,252,68,1141,24,245,407
0.7,0,1,11,16,205007.49799427,225757.78813559,167522.64903846,379508.59782609,1510,1042,253,85,1188,16,249,468
0.7,0,1,11,17,203885.03381089,223575.05084746,167379.25961538,376972.18478261,1561,1044,241,61,1274,15,236,517
0.7,0,1,11,18,202743.05787966,222311.44067797,167043.14423077,375753.39130435,1622,1050,245,67,1325,15,236,572
0.7,0,1,11,19,200058.03782235,219695.83474576,164917.82692308,371507.43478261,1682,1064,241,79,1379,17,243,618
0.7,0,1,11,20,198706.8286533,218542.71610169,163496.37980769,367304.52173913,1719,1022,223,86,1429,19,253,697
0.7,0,1,11,21,196253.09570201,215304.1779661,160787.45192308,361768.70652174,1778,992,242,67,1481,12,238,786
0.7,0,1,11,22,192294.26934097,211413.83474576,158344.05769231,354068.55434783,1837,986,248,78,1527,16,251,851
0.7,0,1,11,23,189922.22808023,208370.59322034,156385.02403846,350535.14130435,1907,973,248,88,1588,17,249,934
0.7,0,1,11,24,186920.4286533,204897.49576271,154354.49038462,343941.95652174,1986,961,270,82,1650,16,257,1025
0.7,0,1,11,25,184336.18108883,203096.0720339,152547.9375,337952.47826087,2051,979,253,89,1714,5,272,1072
0.7,0,1,11,26,180926.60630372,199691.79661017,150613.75480769,331370.94565217,2115,970,263,79,1783,10,268,1145
0.7,0,1,11,27,178015.11747851,195323.83050847,149033.66826923,323454.64130435,2140,991,232,77,1848,17,267,1149
0.7,0,1,11,28,175565.76733524,192254.37711864,147404.18269231,317983.06521739,2185,965,242,78,1875,10,265,1220
0.7,0,1,11,29,174519.63782235,190629.53813559,146406.27403846,315869.56521739,2246,952,258,81,1917,10,268,1294
0.7,0,1,11,30,172033.86590258,187379.63559322,144832.55769231,309602.65217391,2311,917,268,72,1983,12,263,1394
0.7,0,1,11,31,171438.91346705,186405.70762712,144541.99519231,308426.30434783,2363,922,249,75,2052,13,259,1441
0.7,0,1,11,32,169542.63381089,184050.8940678,143950.93269231,305259.81521739,2417,900,244,84,2102,13,261,1517
